Domain;Kingdom;Filum;Class;Organism;Organism Full Name;Year;Source
Eukaryotes;Animals;Vertebrates;Mammals;cge;Cricetulus griseus (Chinese hamster);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;pleu;Peromyscus leucopus (white-footed mouse);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;ngi;Nannospalax galili (Upper Galilee mountains blind mole rat);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;hgl;Heterocephalus glaber (naked mole rat);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;ccan;Castor canadensis (American beaver);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;ocu;Oryctolagus cuniculus (rabbit);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;tup;Tupaia chinensis (Chinese tree shrew);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;cfa;Canis lupus familiaris (dog);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;vvp;Vulpes vulpes (red fox);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;aml;Ailuropoda melanoleuca (giant panda);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;umr;Ursus maritimus (polar bear);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;uah;Ursus arctos horribilis;;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;oro;Odobenus rosmarus divergens (Pacific walrus);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;elk;Enhydra lutris kenyoni (northern sea otter);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mpuf;Mustela putorius furo (domestic ferret);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;eju;Eumetopias jubatus (Steller sea lion);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;fca;Felis catus (domestic cat);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;ptg;Panthera tigris altaica (Amur tiger);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;ppad;Panthera pardus (leopard);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;aju;Acinonyx jubatus (cheetah);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;hhv;Hyaena hyaena (striped hyena);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;bta;Bos taurus (cow);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;bom;Bos mutus (wild yak);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;biu;Bos indicus (zebu cattle);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;bbub;Bubalus bubalis (water buffalo);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;chx;Capra hircus (goat);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;oas;Ovis aries (sheep);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;oda;Oryx dammah (scimitar-horned oryx);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;ssc;Sus scrofa (pig);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;cfr;Camelus ferus (Wild Bactrian camel);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;cdk;Camelus dromedarius (Arabian camel);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;bacu;Balaenoptera acutorostrata scammoni (minke whale);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;lve;Lipotes vexillifer (Yangtze River dolphin);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;oor;Orcinus orca (killer whale);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;dle;Delphinapterus leucas (beluga whale);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;pcad;Physeter catodon (sperm whale);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;ecb;Equus caballus (horse);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;epz;Equus przewalskii (Przewalski's horse);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;eai;Equus asinus (ass);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;myb;Myotis brandtii (Brandt's bat);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;myd;Myotis davidii;;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mmyo;Myotis myotis;;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mna;Miniopterus natalensis;;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;hai;Hipposideros armiger (great roundleaf bat);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;dro;Desmodus rotundus (common vampire bat);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;shon;Sturnira hondurensis;;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;ajm;Artibeus jamaicensis (Jamaican fruit-eating bat);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mmf;Molossus molossus (Pallas's mastiff bat);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;pale;Pteropus alecto (black flying fox);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;ray;Rousettus aegyptiacus (Egyptian rousette);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mjv;Manis javanica (Malayan pangolin);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;lav;Loxodonta africana (African savanna elephant);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;tmu;Trichechus manatus latirostris (Florida manatee);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;mdo;Monodelphis domestica (opossum);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;shr;Sarcophilus harrisii (Tasmanian devil);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;pcw;Phascolarctos cinereus (koala);;RefSeq
Eukaryotes;Animals;Vertebrates;Mammals;oaa;Ornithorhynchus anatinus (platypus);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;gga;Gallus gallus (chicken);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;mgp;Meleagris gallopavo (turkey);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;cjo;Coturnix japonica (Japanese quail);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;nmel;Numida meleagris (helmeted guineafowl);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;apla;Anas platyrhynchos (mallard);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;acyg;Anser cygnoides domesticus (swan goose);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;tgu;Taeniopygia guttata (zebra finch);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;lsr;Lonchura striata domestica (Bengalese finch);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;scan;Serinus canaria (common canary);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;pmoa;Passer montanus (Eurasian tree sparrow);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;gfr;Geospiza fortis (medium ground-finch);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;fab;Ficedula albicollis (collared flycatcher);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;phi;Pseudopodoces humilis (Tibetan ground-tit);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;pmaj;Parus major (Great Tit);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;ccae;Cyanistes caeruleus (blue tit);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;ccw;Corvus cornix (hooded crow);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;etl;Empidonax traillii (willow flycatcher);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;fpg;Falco peregrinus (peregrine falcon);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;fch;Falco cherrug (Saker falcon);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;clv;Columba livia (rock pigeon);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;egz;Egretta garzetta (little egret);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;nni;Nipponia nippon (crested ibis);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;acun;Athene cunicularia (burrowing owl);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;padl;Pygoscelis adeliae (Adelie penguin);;RefSeq
Eukaryotes;Animals;Vertebrates;Birds;aam;Apteryx mantelli mantelli (brown kiwi);;RefSeq
Eukaryotes;Animals;Vertebrates;Reptiles;asn;Alligator sinensis (Chinese alligator);;RefSeq
Eukaryotes;Animals;Vertebrates;Reptiles;amj;Alligator mississippiensis (American alligator);;RefSeq
Eukaryotes;Animals;Vertebrates;Reptiles;pss;Pelodiscus sinensis (Chinese soft-shelled turtle);;RefSeq
Eukaryotes;Animals;Vertebrates;Reptiles;cmy;Chelonia mydas (green sea turtle);;RefSeq
Eukaryotes;Animals;Vertebrates;Reptiles;cpic;Chrysemys picta (western painted turtle);;RefSeq
Eukaryotes;Animals;Vertebrates;Reptiles;acs;Anolis carolinensis (green anole);;RefSeq
Eukaryotes;Animals;Vertebrates;Reptiles;pvt;Pogona vitticeps (central bearded dragon);;RefSeq
Eukaryotes;Animals;Vertebrates;Reptiles;pbi;Python bivittatus (Burmese python);;RefSeq
Eukaryotes;Animals;Vertebrates;Reptiles;pmur;Protobothrops mucrosquamatus (Taiwan habu);;RefSeq
Eukaryotes;Animals;Vertebrates;Reptiles;tsr;Thamnophis sirtalis;;RefSeq
Eukaryotes;Animals;Vertebrates;Reptiles;pmua;Podarcis muralis (common wall lizard);;RefSeq
Eukaryotes;Animals;Vertebrates;Reptiles;zvi;Zootoca vivipara (common lizard);;RefSeq
Eukaryotes;Animals;Vertebrates;Reptiles;gja;Gekko japonicus;;RefSeq
Eukaryotes;Animals;Vertebrates;Amphibians;xla;Xenopus laevis (African clawed frog);;RefSeq
Eukaryotes;Animals;Vertebrates;Amphibians;xtr;Xenopus tropicalis (western clawed frog);;RefSeq
Eukaryotes;Animals;Vertebrates;Amphibians;npr;Nanorana parkeri;;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;dre;Danio rerio (zebrafish);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;srx;Sinocyclocheilus rhinocerous;;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;sanh;Sinocyclocheilus anshuiensis;;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;sgh;Sinocyclocheilus grahami;;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;ccar;Cyprinus carpio (common carp);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;ipu;Ictalurus punctatus (channel catfish);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;phyp;Pangasianodon hypophthalmus (striped catfish);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;amex;Astyanax mexicanus (Mexican tetra);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;eee;Electrophorus electricus (electric eel);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;tru;Takifugu rubripes (torafugu);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;tng;Tetraodon nigroviridis (spotted green pufferfish);;GenBank
Eukaryotes;Animals;Vertebrates;Fishes;lco;Larimichthys crocea (large yellow croaker);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;ncc;Notothenia coriiceps (black rockcod);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;mze;Maylandia zebra (zebra mbuna);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;onl;Oreochromis niloticus (Nile tilapia);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;ola;Oryzias latipes (Japanese medaka);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;xma;Xiphophorus maculatus (southern platyfish);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;xco;Xiphophorus couchianus (Monterrey platyfish);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;pret;Poecilia reticulata (guppy);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;cvg;Cyprinodon variegatus (sheepshead minnow);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;nfu;Nothobranchius furzeri (turquoise killifish);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;kmr;Kryptolebias marmoratus (mangrove rivulus);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;alim;Austrofundulus limnaeus (annual killifish);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;aoce;Amphiprion ocellaris (clown anemonefish);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;csem;Cynoglossus semilaevis (tongue sole);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;pov;Paralichthys olivaceus (Japanese flounder);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;lcf;Lates calcarifer (barramundi perch);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;sdu;Seriola dumerili (greater amberjack);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;slal;Seriola lalandi dorsalis (Yellowtail amberjack);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;hcq;Hippocampus comes (tiger tail seahorse);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;bpec;Boleophthalmus pectinirostris (great blue-spotted mudskipper);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;malb;Monopterus albus (swamp eel);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;sasa;Salmo salar (Atlantic salmon);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;otw;Oncorhynchus tshawytscha (Chinook salmon);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;omy;Oncorhynchus mykiss (rainbow trout);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;salp;Salvelinus sp. IW2-2015 (Arctic char);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;els;Esox lucius (northern pike);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;sfm;Scleropages formosus (Asian bonytongue);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;pki;Paramormyrops kingsleyae;;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;pspa;Polyodon spathula (Mississippi paddlefish);;RefSeq
Eukaryotes;Animals;Vertebrates;Fishes;lcm;Latimeria chalumnae (coelacanth);;RefSeq
Eukaryotes;Animals;Vertebrates;Cartilaginous fishes;cmk;Callorhinchus milii (elephant shark);;RefSeq
Eukaryotes;Animals;Vertebrates;Cartilaginous fishes;rtp;Rhincodon typus (whale shark);;RefSeq
Eukaryotes;Animals;Lancelets;;bfo;Branchiostoma floridae (Florida lancelet);;RefSeq
Eukaryotes;Animals;Ascidians;;cin;Ciona intestinalis (sea squirt);;RefSeq
Eukaryotes;Animals;Echinoderms;;spu;Strongylocentrotus purpuratus (purple sea urchin);;RefSeq
Eukaryotes;Animals;Echinoderms;;aplc;Acanthaster planci (crown-of-thorns starfish);;RefSeq
Eukaryotes;Animals;Hemichordates;;sko;Saccoglossus kowalevskii (acorn worm);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dme;Drosophila melanogaster (fruit fly);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;der;Drosophila erecta;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dse;Drosophila sechellia;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dsi;Drosophila simulans;;GenBank
Eukaryotes;Animals;Arthropods;Insects;dya;Drosophila yakuba;;GenBank
Eukaryotes;Animals;Arthropods;Insects;dan;Drosophila ananassae;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dsr;Drosophila serrata;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dpo;Drosophila pseudoobscura pseudoobscura;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dpe;Drosophila persimilis;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dmn;Drosophila miranda;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dwi;Drosophila willistoni;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dgr;Drosophila grimshawi;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dmo;Drosophila mojavensis;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;daz;Drosophila arizonae;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dnv;Drosophila navojoa;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dhe;Drosophila hydei;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dvi;Drosophila virilis;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;mde;Musca domestica (house fly);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;lcq;Lucilia cuprina (Australian sheep blowfly);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;aga;Anopheles gambiae (mosquito);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;aag;Aedes aegypti (yellow fever mosquito);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;aalb;Aedes albopictus (Asian tiger mosquito);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;cqu;Culex quinquefasciatus (southern house mosquito);;GenBank
Eukaryotes;Animals;Arthropods;Insects;ame;Apis mellifera (honey bee);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;bim;Bombus impatiens (common eastern bumble bee);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;bter;Bombus terrestris (buff-tailed bumblebee);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;ccal;Ceratina calcarata (carpenter bee);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;obb;Osmia bicornis bicornis;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;soc;Solenopsis invicta (red fire ant);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;mpha;Monomorium pharaonis (pharaoh ant);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;aec;Acromyrmex echinatior (Panamanian leafcutter ant);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;acep;Atta cephalotes (leaf cutting ant);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;pbar;Pogonomyrmex barbatus (red harvester ant);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;vem;Vollenhovia emeryi;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;hst;Harpegnathos saltator (Jerdon's jumping ant);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dqu;Dinoponera quadriceps;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;cfo;Camponotus floridanus (Florida carpenter ant);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;lhu;Linepithema humile (Argentine ant);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;pgc;Pseudomyrmex gracilis;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;obo;Ooceraea biroi (clonal raider ant);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;pcf;Polistes canadensis;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;nvi;Nasonia vitripennis (jewel wasp);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;csol;Ceratosolen solmsi marchali;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;mdl;Microplitis demolitor;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;tca;Tribolium castaneum (red flour beetle);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dpa;Dendroctonus ponderosae (mountain pine beetle);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;atd;Aethina tumida (small hive beetle);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;nvl;Nicrophorus vespilloides;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;bmor;Bombyx mori (domestic silkworm);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;bman;Bombyx mandarina (wild silkworm);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dpl;Danaus plexippus (monarch butterfly);;GenBank
Eukaryotes;Animals;Arthropods;Insects;pmac;Papilio machaon (common yellow swallowtail);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;prap;Pieris rapae (cabbage white);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;haw;Helicoverpa armigera (cotton bollworm);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;tnl;Trichoplusia ni (cabbage looper);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;pxy;Plutella xylostella (diamondback moth);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;api;Acyrthosiphon pisum (pea aphid);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;dnx;Diuraphis noxia (Russian wheat aphid);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;ags;Aphis gossypii (cotton aphid);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;rmd;Rhopalosiphum maidis (corn leaf aphid);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;btab;Bemisia tabaci (sweet potato whitefly);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;clec;Cimex lectularius (bed bug);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;nlu;Nilaparvata lugens (brown planthopper);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;phu;Pediculus humanus corporis (human body louse);;RefSeq
Eukaryotes;Animals;Arthropods;Insects;zne;Zootermopsis nevadensis;;RefSeq
Eukaryotes;Animals;Arthropods;Insects;fcd;Folsomia candida;;RefSeq
Eukaryotes;Animals;Arthropods;Crustaceans;dpx;Daphnia pulex (common water flea);;GenBank
Eukaryotes;Animals;Arthropods;Crustaceans;pvm;Penaeus vannamei (Pacific white shrimp);;RefSeq
Eukaryotes;Animals;Arthropods;Chelicerates;isc;Ixodes scapularis (black-legged tick);;GenBank
Eukaryotes;Animals;Arthropods;Chelicerates;tut;Tetranychus urticae (two-spotted spider mite);;RefSeq
Eukaryotes;Animals;Arthropods;Chelicerates;dpte;Dermatophagoides pteronyssinus (European house dust mite);;RefSeq
Eukaryotes;Animals;Arthropods;Chelicerates;cscu;Centruroides sculpturatus (bark scorpion);;RefSeq
Eukaryotes;Animals;Arthropods;Chelicerates;ptep;Parasteatoda tepidariorum (common house spider);;RefSeq
Eukaryotes;Animals;Nematodes;;cel;Caenorhabditis elegans (nematode);;RefSeq
Eukaryotes;Animals;Nematodes;;cbr;Caenorhabditis briggsae;;RefSeq
Eukaryotes;Animals;Nematodes;;bmy;Brugia malayi (filaria);;RefSeq
Eukaryotes;Animals;Nematodes;;loa;Loa loa (eye worm);;RefSeq
Eukaryotes;Animals;Nematodes;;nai;Necator americanus;;RefSeq
Eukaryotes;Animals;Nematodes;;tsp;Trichinella spiralis;;RefSeq
Eukaryotes;Animals;Annelids;;hro;Helobdella robusta;;RefSeq
Eukaryotes;Animals;Mollusks;;lgi;Lottia gigantea (owl limpet);;RefSeq
Eukaryotes;Animals;Mollusks;;pcan;Pomacea canaliculata (golden apple snail);;RefSeq
Eukaryotes;Animals;Mollusks;;crg;Crassostrea gigas (Pacific oyster);;RefSeq
Eukaryotes;Animals;Mollusks;;myi;Mizuhopecten yessoensis (Yesso scallop);;RefSeq
Eukaryotes;Animals;Mollusks;;obi;Octopus bimaculoides;;RefSeq
Eukaryotes;Animals;Brachiopodas;;lak;Lingula anatina;;RefSeq
Eukaryotes;Animals;Flatworms;;smm;Schistosoma mansoni;;RefSeq
Eukaryotes;Animals;Flatworms;;shx;Schistosoma haematobium;;RefSeq
Eukaryotes;Animals;Flatworms;;ovi;Opisthorchis viverrini;;RefSeq
Eukaryotes;Animals;Flatworms;;egl;Echinococcus granulosus;;RefSeq
Eukaryotes;Animals;Cnidarians;;nve;Nematostella vectensis (starlet sea anemone);;RefSeq
Eukaryotes;Animals;Cnidarians;;epa;Exaiptasia diaphana;;RefSeq
Eukaryotes;Animals;Cnidarians;;adf;Acropora digitifera (stony coral);;RefSeq
Eukaryotes;Animals;Cnidarians;;amil;Acropora millepora;;RefSeq
Eukaryotes;Animals;Cnidarians;;pdam;Pocillopora damicornis (lace coral);;RefSeq
Eukaryotes;Animals;Cnidarians;;spis;Stylophora pistillata;;RefSeq
Eukaryotes;Animals;Cnidarians;;dgt;Dendronephthya gigantea (soft corals);;RefSeq
Eukaryotes;Animals;Cnidarians;;hmg;Hydra vulgaris;;RefSeq
Eukaryotes;Animals;Placozoans;;tad;Trichoplax adhaerens;;RefSeq
Eukaryotes;Animals;Poriferans;;aqu;Amphimedon queenslandica (sponge);;RefSeq
Eukaryotes;Plants;Eudicots;Mustard family;ath;Arabidopsis thaliana (thale cress);;RefSeq
Eukaryotes;Plants;Eudicots;Mustard family;aly;Arabidopsis lyrata (lyrate rockcress);;RefSeq
Eukaryotes;Plants;Eudicots;Mustard family;crb;Capsella rubella;;RefSeq
Eukaryotes;Plants;Eudicots;Mustard family;csat;Camelina sativa (false flax);;RefSeq
Eukaryotes;Plants;Eudicots;Mustard family;eus;Eutrema salsugineum;;RefSeq
Eukaryotes;Plants;Eudicots;Mustard family;brp;Brassica rapa (field mustard);;RefSeq
Eukaryotes;Plants;Eudicots;Mustard family;bna;Brassica napus (rape);;RefSeq
Eukaryotes;Plants;Eudicots;Mustard family;boe;Brassica oleracea (wild cabbage);;RefSeq
Eukaryotes;Plants;Eudicots;Mustard family;rsz;Raphanus sativus (radish);;RefSeq
Eukaryotes;Plants;Eudicots;Caper family;thj;Tarenaya hassleriana (spider flower);;RefSeq
Eukaryotes;Plants;Eudicots;Papaya family;cpap;Carica papaya (papaya);;RefSeq
Eukaryotes;Plants;Eudicots;Rue family;cit;Citrus sinensis (Valencia orange);;RefSeq
